tanggal,arah_angin,hujan,kelembaban,tekanan_udara,temperature,tingkat_cahaya
2023-10-15,barat     ,0,255,93905.15,255,34
2023-10-15,barat     ,0,255,93906.84,255,34
2023-10-15,barat     ,0,255,93907.17,255,34
2023-10-15,barat     ,0,255,93907.14,255,34
2023-10-15,barat     ,0,255,93906.92,255,34
2023-10-15,barat     ,0,255,93907.34,255,34
2023-10-15,barat     ,0,255,93906.88,255,34
2023-10-15,barat     ,0,255,93906.38,255,34
2023-10-15,barat     ,0,255,93905.7,255,34
2023-10-15,barat     ,0,255,93907.52,255,34
2023-10-15,barat     ,0,255,93908.13,255,34
2023-10-15,barat     ,0,255,93908.95,255,34
2023-10-15,barat     ,0,255,93909.8,255,34
2023-10-15,barat     ,0,255,93910.13,255,32
2023-10-15,barat     ,0,255,93909.7,255,13
2023-10-15,barat laut,0,255,93910.02,255,12
2023-10-15,barat laut,0,255,93910.34,255,11
2023-10-15,barat laut,0,255,93910.02,255,11
2023-10-15,barat laut,0,255,93910.2,255,11
2023-10-15,barat laut,0,255,93910.38,255,12
2023-10-15,barat laut,0,255,93911.08,255,11
2023-10-15,barat laut,0,255,93911.12,255,11
2023-10-15,barat laut,0,255,93911.83,255,13
2023-10-15,barat laut,0,255,93912.15,255,10
2023-10-15,barat laut,0,255,93913.33,255,12
2023-10-15,barat laut,0,255,93913.75,255,31
2023-10-15,timur     ,0,255,93912.89,255,29
2023-10-15,tenggara  ,0,255,93913.33,255,11
2023-10-15,tenggara  ,0,255,93912.94,255,11
2023-10-15,tenggara  ,0,255,93913.25,255,11
2023-10-15,tenggara  ,0,255,93913.58,255,11
2023-10-15,tenggara  ,0,255,93913.72,255,10
2023-10-15,tenggara  ,0,255,93914.54,255,10
2023-10-15,tenggara  ,0,255,93914.36,255,10
2023-10-15,tenggara  ,0,255,93915.44,255,10
2023-10-15,tenggara  ,0,255,93915.04,255,10
2023-10-15,tenggara  ,0,255,93915.69,255,10
2023-10-15,tenggara  ,0,255,93916.17,255,10
2023-10-15,tenggara  ,0,255,93915.83,255,12
2023-10-15,tenggara  ,0,255,93915.83,255,11
2023-10-15,tenggara  ,0,255,93916.14,255,11
2023-10-15,tenggara  ,0,255,93915.17,255,35
2023-10-15,tenggara  ,0,255,93915.06,255,36
2023-10-15,tenggara  ,0,255,93914.86,255,34
2023-10-15,tenggara  ,25,255,93914.96,255,34
2023-10-15,tenggara  ,34,255,93915.25,255,25
2023-10-15,tenggara  ,36,255,93915.11,255,16
2023-10-15,tenggara  ,37,255,93914.75,255,15
2023-10-15,tenggara  ,37,255,93915.32,255,14
2023-10-15,tenggara  ,37,255,93915.64,255,23
2023-10-15,tenggara  ,39,255,93916.28,255,14
2023-10-15,tenggara  ,39,255,93917.34,255,15
2023-10-15,tenggara  ,40,255,93918.23,255,14
2023-10-15,tenggara  ,0,255,93919.88,255,35
2023-10-15,tenggara  ,0,255,93920.73,255,10
2023-10-15,tenggara  ,0,255,93917.23,255,10
2023-10-15,tenggara  ,0,255,93913.78,255,10
2023-10-15,tenggara  ,0,255,93911.8,255,12
2023-10-15,timur     ,0,255,93912.42,255,34
2023-10-15,timur     ,0,255,93913.58,255,33
2023-10-15,timur     ,0,255,93917.02,255,35
2023-10-15,timur     ,0,255,93917.48,255,34
2023-10-15,timur     ,0,255,93918.84,255,35
2023-10-15,timur     ,0,58,93924.36,33,35
2023-10-15,timur     ,0,58,93924.18,33,35
2023-10-15,timur     ,0,58,93923.17,33,35
2023-10-15,timur     ,0,58,93923.11,33,35
2023-10-15,timur     ,0,58,93924.95,33,35
2023-10-15,timur     ,0,58,93925.34,33,36
2023-10-15,timur     ,0,58,93925.94,33,35
2023-10-15,timur     ,0,58,93926.84,33,36
2023-10-15,timur     ,0,58,93927.05,33,36
2023-10-15,timur     ,0,58,93926.52,33,35
2023-10-15,timur     ,0,58,93926.7,33,35
2023-10-15,timur     ,0,58,93927.13,33,35
2023-10-15,timur     ,0,58,93927.2,33,35
2023-10-15,timur     ,0,58,93927.94,33,35
2023-10-15,timur     ,0,58,93928.15,33,35
2023-10-15,timur     ,0,58,93928.97,33,35
2023-10-15,timur     ,0,58,93929.72,33,35
2023-10-15,timur     ,0,59,93930.33,33,35
2023-10-15,timur     ,0,59,93930.97,33,35
2023-10-15,timur     ,0,59,93931.5,33,36
2023-10-15,timur     ,0,59,93931.89,33,35
2023-10-15,timur     ,0,59,93931.25,33,35
2023-10-15,timur     ,0,59,93932.17,33,35
2023-10-15,timur     ,0,59,93932.88,33,36
2023-10-15,timur     ,0,59,93933.17,33,35
2023-10-15,timur     ,0,59,93934.03,33,36
2023-10-15,timur     ,0,59,93934.7,33,36
2023-10-15,timur     ,0,60,93934.34,33,35
2023-10-15,timur     ,0,60,93934.3,33,35
2023-10-15,timur     ,0,59,93934.67,33,35
2023-10-15,timur     ,0,59,93934.67,33,35
2023-10-15,timur     ,0,59,93934.73,33,35
2023-10-15,timur     ,0,59,93935.59,33,35
2023-10-15,timur     ,0,59,93935.09,33,35
2023-10-15,timur     ,0,59,93934.81,33,36
2023-10-15,timur     ,0,59,93935.42,33,36
2023-10-15,timur     ,0,59,93934.16,33,12
2023-10-15,timur     ,0,59,93935.97,33,36
2023-10-15,timur     ,0,59,93937.66,33,36
2023-10-15,timur     ,0,59,93938.41,33,35
2023-10-15,timur     ,0,59,93938.51,33,35
2023-10-15,timur     ,0,59,93938.86,33,32
2023-10-15,timur     ,0,59,93939.05,33,34
2023-10-15,timur     ,0,60,93939.05,33,34
2023-10-15,timur     ,35,60,93937.86,33,35
2023-10-15,timur     ,35,60,93937.16,33,35
2023-10-15,timur     ,36,59,93937.38,33,35
2023-10-15,timur     ,36,60,93937.55,33,14
2023-10-15,timur     ,36,60,93938.3,33,18
2023-10-15,timur     ,37,60,93938.16,33,20
2023-10-15,timur     ,37,60,93939.94,33,15
2023-10-15,timur     ,35,60,93938.64,33,14
2023-10-15,timur     ,36,60,93936.3,33,14
2023-10-15,timur     ,37,60,93934.63,33,14
2023-10-15,timur     ,30,60,93930.16,33,14
2023-10-15,timur     ,19,60,93931.7,33,15
2023-10-15,timur     ,13,60,93933.69,33,15
2023-10-15,timur     ,15,60,93934.83,33,16
2023-10-15,timur     ,0,60,93935.39,33,16
2023-10-15,timur     ,0,60,93935.43,33,18
2023-10-15,timur     ,0,60,93935.51,33,16
2023-10-15,timur     ,0,60,93933.97,33,33
2023-10-15,timur     ,0,60,93929.37,33,35
2023-10-15,timur     ,0,60,93932.27,33,37
2023-10-15,timur     ,0,60,93934,33,18
